lista,frase,texto
16,6,"Se não fosse ela, tudo seria contido"
16,7,A principal personagem no filme é uma gueixa
16,8,Receba seu jornal em sua casa
16,9,A juventude tinha que revolucionar a escola
16,10,A atriz terá quatro meses para ensaiar seu canto
17,1,Muito prazer em conhecê-lo
17,2,Eles estavam sem um bom equipamento
17,3,O sol ilumina a fachada de tarde
17,4,A correção do exame está coerente
17,5,As portas são antigas
17,6,Sobrevoamos Natal acima das nuvens
17,7,Trabalhei mais do que podia
17,8,Hoje eu acordei muito calmo
17,9,Esse canal é pouco informativo
17,10,Parece que nascemos ontem
18,1,Receba meus parabéns pela apresentação
18,2,Eu planejo uma viagem no feriado
18,3,No lado de cá do rio há uma boa sombra
18,4,A maioria dos visitantes gosta deste monumento
18,5,Minha filha é especialista em música sacra
18,6,A casa só tem um quarto
18,7,A duração do simpósio é de cinco dias
18,8,"Ao contrário de nossa expectativa, correu tranquilo"
18,9,A intenção é obter apoio do governante
18,10,A fila aumentou ao longo do dia
19,1,À noite a temperatura deve ir a zero
19,2,A proposta foi inspecionada pela gerência
19,3,O quadro mostra uma face do cotidiano
19,4,Já era bem tarde quando ele me abordou
19,5,O canário canta ao amanhecer
19,6,A lojinha fica bem na esquina de casa
19,7,Meu time se consagrou como o melhor
19,8,Um instituto deve servir a sua meta
19,9,Ele entende quando se fala pausadamente
19,10,Seu saldo bancário está baixo
20,1,O termômetro marcava um grau
20,2,O discurso de abertura é bem longo
20,3,Eu precisei de microfone na conferência
20,4,Joyce esticou sua temporada até quinta
20,5,Nada como um almoço ao ar livre
20,6,Nossa filha é a primeira aluna da classe
20,7,Gostaria de deitar um pouco
20,8,Não fizemos uma viagem muito cansativa
20,9,Ainda tenho cinco telefonemas para dar
20,10,O hotéis do sudoeste são fantásticos
